datetime,Symbol,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI,BB_upper,BB_lower,ADX,ATR,Higher_High,Higher_Low,Lower_Low,Lower_High,Break_Prev_Higher_Low,Count_Higher_Low_Breaches,Break_Prev_Lower_High,Count_Lower_High_Breaches,Prev_Higher_Low,Golden_Cross,Death_Cross,Double_Bottom,Doji,Hammer,Pin_bar,Shooting_Star,Bullish_Engulfing,Morning_Star,MACD_final_signal,Evening_Star,Is_Gap_Up,Is_Gap_Down,Is_Gap,Gap_Zone_Low,Gap_Zone_High,Explosive_Gap_Buy,Scores,Signal,Extend_period,Break_Buy_Score,Break_Buy_Confirmations,Break_Buy_Leading_Confirm
2022-07-18 14:45:00,NSE:SUZLON,5.874944,6.288026,5.73725,6.104434,260158777.07089633,,,6.104434,6.104434,0.0,0.0,,,,0.0,,1,0,0,0,,0,,0,,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-07-25 14:45:00,NSE:SUZLON,6.104434,6.150332,5.415964,6.058536,258224230.90330732,,,6.079572583333333,6.080602346153846,-0.001029762820512481,-0.0005720904558402672,,,,0.0,,0,1,1,0,,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-08-01 14:45:00,NSE:SUZLON,6.19623,7.022394,6.012638,6.838802,421186117.0421369,,,6.375900000000001,6.353016120256284,0.022883879743716307,0.009041012084961607,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,1.5,0.0,0,0,0,,,0,0,0,0,0,,
2022-08-08 14:45:00,NSE:SUZLON,6.930598,7.297782,6.747006,6.930598,314855783.4764042,,,6.550996480747126,6.514482773747301,0.036513706999825146,0.0183474805520563,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-08-16 14:45:00,NSE:SUZLON,7.022394,7.160088,6.838802,7.068292,211811151.90204364,,,6.691543824526022,6.64291341755624,0.0486304069697816,0.027355966516396286,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-08-22 14:45:00,NSE:SUZLON,7.11419,8.537028,6.976496,7.527272,821365939.6923611,,,6.894669738662131,6.820043388228705,0.07462635043342569,0.04016886874041544,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-08-29 14:45:00,NSE:SUZLON,7.251884,8.445232,7.068292,8.078048,512559971.02270246,,,7.158736457355072,7.043772987109194,0.11496347024587816,0.05909738704304829,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-09-05 14:45:00,NSE:SUZLON,8.399334,10.740132,8.307538,8.812416,1608454244.1936467,,,7.503833889566754,7.328745200498632,0.17508868906812136,0.08697227813659139,,,,0.0,,1,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-09-12 14:45:00,NSE:SUZLON,8.904212,9.1796,8.123946,8.307538,428061202.0131595,,,7.662835168830033,7.47382378076143,0.18901138806860285,0.11054381874952078,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-09-19 14:45:00,NSE:SUZLON,8.399334,9.087804,7.57317,8.353436,694675833.3696456,,,7.793703757938595,7.595201706025156,0.19850205191343928,0.13025156894666645,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-09-26 14:45:00,NSE:SUZLON,8.215742,8.307538,7.297782,7.986252,822212364.3731751,,,7.828935443569797,7.645921053038604,0.18301439053119317,0.1417957728259712,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-10-03 14:45:00,NSE:SUZLON,7.6,8.25,7.5,7.65,543493933.0,,,7.797121309123021,7.646422215942378,0.15069909318064312,0.14370783264731635,,,,0.0,,0,0,0,0,0.0,0,,0,5.415964,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-10-10 14:45:00,NSE:SUZLON,7.6,7.95,6.6,6.7,645187992.0,,,7.606619370787917,7.535549024054273,0.07107034673364421,0.12833521698085143,,,,0.0,,0,1,0,0,,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-10-17 14:45:00,NSE:SUZLON,6.8,9.6,6.75,8.65,1750779409.0,,,7.78427377866889,7.66071513147384,0.12355864719504961,0.12733595501778774,65.59863308954499,,,0.0,1.2423185714285714,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-10-24 23:45:00,NSE:SUZLON,8.85,9.0,8.0,8.1,216196468.0,,,7.837163325786137,7.708234993776794,0.12892833200934284,0.12766604440388166,59.03752983887121,,,0.0,1.2744060000000001,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,1.5,0.0,0,0,0,,,0,0,0,0,0,,
2022-10-31 14:45:00,NSE:SUZLON,8.05,8.6,7.7,8.15,324416370.0,,,7.88886205277791,7.754447242440642,0.134414810337268,0.1290548901221802,59.43474722895421,,,0.0,1.286236857142857,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-11-07 14:45:00,NSE:SUZLON,8.2,8.55,8.05,8.2,288487237.0,,,7.939699903874065,7.79967473828686,0.1400251655872058,0.13129948909057357,59.853993443194504,,,0.0,1.2498257142857143,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-11-14 14:45:00,NSE:SUZLON,8.3,8.35,7.9,8.1,216063791.0,,,7.965644169775199,7.829346344655342,0.13629782511985766,0.13231749506167892,58.55064263560327,,,0.0,1.2426274285714283,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,-2.3,0,0,0,,,0,0,0,0,0,,
2022-11-21 14:45:00,NSE:SUZLON,8.1,8.6,7.8,8.45,424902927.0,,,8.04341393095979,7.889186337821821,0.15422759313796952,0.13676358965275667,61.694628559752644,,,0.0,1.2768212857142855,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-11-28 14:45:00,NSE:SUZLON,8.6,9.5,8.5,9.45,862452361.0,7.7757812,,8.267753090340369,8.036382929538672,0.23137016080169737,0.15590559619235303,68.9429796045596,9.57921776696951,5.97234463303049,0.0,1.2403547142857143,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-12-05 14:45:00,NSE:SUZLON,9.55,10.5,9.25,9.3,1109136860.0,7.935559500000001,,8.431463887761614,8.15318824036215,0.27827564739946453,0.1806074407359979,66.8980930253098,9.68081356245509,6.190305437544912,0.0,1.2312875714285714,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,-1.7,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-12-12 14:45:00,NSE:SUZLON,9.3,11.25,9.25,10.75,1488989389.0,8.1701327,,8.797437195750492,8.388901969934283,0.40853522581620894,0.22653186015675547,74.7076964924407,10.104064999597414,6.236200400402587,0.0,1.1839958571428573,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-12-19 14:45:00,NSE:SUZLON,10.85,12.15,8.9,9.0,2100312878.0,8.2781926,,8.829283665165057,8.443460671436812,0.3858229937282456,0.2585792613375526,57.1753658581116,10.139043940274732,6.417341259725269,0.0,1.3407348571428572,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2022-12-26 14:45:00,NSE:SUZLON,9.0,11.0,9.0,10.6,868450247.0,8.461662700000002,,9.106736253222504,8.633112254348681,0.47362399887382267,0.30179227653941965,65.21344600390907,10.479984017605362,6.443341382394641,0.0,1.375403857142857,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-01-02 14:45:00,NSE:SUZLON,10.7,11.0,10.05,10.2,612611262.0,8.618248099999999,,9.277553474591857,8.769023486685818,0.508529987906039,0.34329661778072074,62.076475636298035,10.667106800597441,6.5693893994025565,0.0,1.3678571428571427,1,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-01-09 14:45:00,NSE:SUZLON,10.35,10.55,9.85,10.05,358169464.0,8.7443845,,9.39795569109915,8.878745205768215,0.5192104853309356,0.37858604704626014,60.89354179990474,10.82087603523812,6.667892964761881,0.0,1.3642857142857143,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-01-16 14:45:00,NSE:SUZLON,10.1,10.25,9.6,10.0,296884660.0,8.8404821,,9.491607443541215,8.973686517153494,0.5179209263877205,0.4065205644332073,60.47982102059105,10.964480424099433,6.716483775900565,0.0,1.3142857142857143,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-01-23 14:45:00,NSE:SUZLON,10.05,10.1,8.95,9.1,235701221.0,8.8548613,,9.43079445562859,8.984269821638422,0.4465246339901672,0.41453688416203677,53.44145922277224,10.981951172166102,6.727771427833898,0.0,1.1892857142857143,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-01-30 14:45:00,NSE:SUZLON,9.0,10.2,8.7,9.05,551639096.0,8.891984400000002,,9.371745921419185,8.989724120057303,0.3820218013618817,0.4080237890755216,53.07193898263309,11.0047218418653,6.779246958134705,0.0,1.2249999999999999,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-02-06 14:45:00,NSE:SUZLON,9.05,9.65,8.9,9.15,274135458.0,8.931812599999999,,9.337402433617314,9.002906430288041,0.33449600332927254,0.39330000476414295,53.76057075025683,11.031797290527088,6.831827909472911,0.0,1.2142857142857142,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-02-13 14:45:00,NSE:SUZLON,9.2,9.25,8.75,8.9,221155106.0,8.9775,,9.26972837713065,8.994511239460513,0.2752171376701362,0.3696600194378508,51.717349480075534,11.030091430106669,6.924908569893328,0.0,1.2142857142857142,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-02-20 14:45:00,NSE:SUZLON,8.9,9.1,8.05,8.4,313481532.0,9.015,,9.135282912850748,8.946371895605584,0.18891101724516446,0.3334815554670836,47.8041514849374,10.99146681040476,7.038533189595242,0.0,1.2571428571428573,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-02-27 14:45:00,NSE:SUZLON,8.4,8.75,8.05,8.5,277996385.0,9.105,,9.037151132552735,8.910475480983864,0.1266756515688705,0.29209414229786806,48.64115159377836,10.778288599388068,7.431711400611933,0.0,1.25,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-03-06 14:45:00,NSE:SUZLON,8.55,8.95,8.35,8.4,241293044.0,9.0925,,8.938792072890587,8.869682766042281,0.06910930684830596,0.24747455038696856,47.8154137997986,10.783739035052168,7.401260964947832,0.0,1.2178571428571427,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,-1.7,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-03-13 14:45:00,NSE:SUZLON,8.4,8.5,7.7,8.0,260027758.0,9.0875,,8.793944077486504,8.80058867302507,-0.006644595538565667,0.19663009624096045,44.55705109595476,10.791635835949823,7.383364164050178,0.0,1.1857142857142855,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-03-20 14:45:00,NSE:SUZLON,8.0,8.0,7.5,7.55,153982596.0,9.0575,,8.602099115737564,8.701763596447707,-0.09966448071014256,0.137351943990508,41.15897381594389,10.84996228764556,7.265037712354439,0.0,1.0785714285714285,0,0,0,0,0.0,0,,0,6.6,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-03-27 14:45:00,NSE:SUZLON,7.6,8.25,6.95,7.9,294834118.0,9.0425,,8.493859990104719,8.638717953473755,-0.1448579633690361,0.080895305537275,44.691985633423265,10.869857885611147,7.215142114388854,0.0,0.9392857142857142,0,1,0,0,,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-04-03 14:45:00,NSE:SUZLON,7.9,8.3,7.9,8.15,105390337.0,9.045,,8.440865705351328,8.60046267954398,-0.1595969741926524,0.032786857857619284,47.133729861197914,10.867057830268315,7.2229421697316845,0.0,0.825,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-04-10 14:45:00,NSE:SUZLON,8.2,8.35,8.0,8.05,152838880.0,9.025,,8.380643336967081,8.557554557256148,-0.17691122028906747,-0.009159727343640199,46.25408597909936,10.882984193462871,7.1670158065371306,0.0,0.7821428571428571,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-04-17 14:45:00,NSE:SUZLON,8.0,8.2,7.95,7.95,153363855.0,8.95,,8.314307392699883,8.510378980134004,-0.1960715874341208,-0.04654706899185699,45.342772419170785,10.856222497644566,7.043777502355431,0.0,0.7499999999999998,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,-1.7,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-04-24 14:45:00,NSE:SUZLON,8.0,8.75,7.9,8.3,356998235.0,8.9,,8.312103919051223,8.494101589491708,-0.18199767044048443,-0.07364007030364915,49.12116929185182,10.819978070050194,6.980021929949808,0.0,0.764285714285714,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-05-02 14:45:00,NSE:SUZLON,8.35,8.9,7.9,8.65,468845288.0,8.794999999999998,,8.364134611584293,8.50612407660624,-0.14198946502194687,-0.08731111225093673,52.64647640914141,10.507462062584,7.082537937415996,0.0,0.7535714285714283,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-05-08 14:45:00,NSE:SUZLON,8.7,8.8,8.2,8.25,267737797.0,8.757499999999999,,8.346562100592621,8.4864323713535,-0.13987027076087877,-0.09782365939981037,48.50967358803505,10.483851491928624,7.0311485080713725,0.0,0.6892857142857142,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-05-15 14:45:00,NSE:SUZLON,8.25,9.0,8.2,8.5,406734376.0,8.6525,,8.3701831041845,8.487472575256271,-0.11728947107177135,-0.10171703370966263,51.09612023531716,10.146866614638908,7.158133385361092,0.0,0.6928571428571428,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-05-22 14:45:00,NSE:SUZLON,8.6,10.3,8.5,10.0,1070795786.0,8.6425,,8.621060523370877,8.603135105597687,0.017925417773190233,-0.07778750113495014,63.0795430247785,10.095364683813902,7.189635316186099,0.0,0.7857142857142857,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,1.5,0.0,0,0,0,,,0,0,0,0,0,,
2023-05-29 14:45:00,NSE:SUZLON,10.15,12.0,10.1,11.0,1799812914.0,8.69,,8.987219610935764,8.785984623429915,0.201234987505849,-0.02198105883608697,68.6030883441105,10.379472044596673,7.000527955403325,0.0,0.8535714285714285,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-06-05 14:45:00,NSE:SUZLON,11.1,14.6,11.0,14.0,3041662250.0,8.889999999999999,,9.75871682312131,9.182867711735904,0.5758491113854056,0.09758830831569953,78.83370222128191,11.764131447750318,6.01586855224968,0.0,1.0607142857142857,0,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-06-12 14:45:00,NSE:SUZLON,14.15,15.75,14.0,14.75,1535404889.0,9.1725,,10.526859478182669,9.605764946825456,0.9210945313572125,0.2622932259664036,80.54082181742028,13.06412055271525,5.2808794472847485,0.0,1.1428571428571428,1,0,0,0,0.0,0,,0,6.95,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-06-19 14:45:00,NSE:SUZLON,14.95,15.05,13.25,13.85,778629376.0,9.4125,,11.038254352642076,9.92756274284824,1.110691609793836,0.4319759299724874,72.93857045355806,13.828961431841936,4.996038568158062,0.0,1.2142857142857142,0,1,0,0,,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-06-26 14:45:00,NSE:SUZLON,13.95,15.65,13.65,15.3,639399021.0,9.72,8.94231248,11.694062141163894,10.334190869416327,1.3598712717475667,0.6175576470382781,76.74676949872544,14.857109570258558,4.582890429741443,0.0,1.3214285714285714,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-07-03 14:45:00,NSE:SUZLON,15.75,18.450001,15.75,17.85,2039206250.0,10.1675,9.1772238,12.641318469983826,10.902129649964568,1.7391888200192582,0.8418864430165259,81.64002463527187,16.43808924453549,3.8969107554645106,0.0,1.4535715000000002,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,1,15.65,15.75,0,0,0,0,0,,
2023-07-10 14:45:00,NSE:SUZLON,18.049999,18.549999,17.049999,17.700001,944647791.0,10.63250005,9.4100531,13.419708710869886,11.41505164213631,2.004657068733575,1.0744426924183061,80.56603662362625,17.682119511696992,3.5828805883030093,0.0,1.5321429285714285,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-07-17 14:45:00,NSE:SUZLON,18.25,19.6,17.799999,19.6,596159194.0,11.18750005,9.66527706,14.370658578021333,12.031782579397653,2.3388759986236796,1.3273312016442322,83.52287410304075,19.210747693074804,3.164252406925197,0.0,1.6428571428571428,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-07-24 14:45:00,NSE:SUZLON,20.549999,20.799999,17.450001,18.049999,1183899270.0,11.67,9.88766508,14.936779369059435,12.48467398444669,2.4521053846127447,1.552287353333071,73.67485955003363,20.135869549021706,3.204130450978294,0.0,1.8642855714285715,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-07-31 14:45:00,NSE:SUZLON,18.200001,19.85,17.700001,18.4,884779714.0,12.190000000000001,10.114299240000001,15.46963703401844,12.929298165538976,2.5403388684794646,1.7498985805515723,74.40862762730879,20.97818584117039,3.4018141588296125,0.0,1.957142642857143,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-08-07 14:45:00,NSE:SUZLON,18.6,21.25,18.25,20.200001,823211061.0,12.822500050000002,10.36775382,16.197448313397818,13.475203525173596,2.722244788224222,1.9443685496846383,77.83096659178402,22.016117848348255,3.628882251651749,0.0,2.099999785714286,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-08-14 14:45:00,NSE:SUZLON,19.549999,20.5,19.299999,19.799999,377372317.0,13.4175,10.60219284,16.751727463227862,13.949608843135989,2.802118620091873,2.1159190772434653,75.41731481881752,22.807936065206853,4.027063934793148,0.0,2.1428570000000002,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-08-21 14:45:00,NSE:SUZLON,20.1,22.85,19.799999,22.4,902399558.0,14.13,10.87394452,17.620746307081113,14.582858268120567,3.0378880389605456,2.300313311123352,79.80190189990739,23.988386759238935,4.271613240761065,0.0,2.3035713571428573,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-08-28 14:45:00,NSE:SUZLON,23.4,27.049999,23.25,25.0,1107745281.0,14.977500000000001,11.20779376,18.756075621821072,15.362817379896198,3.3932582419248742,2.518902716017767,83.05643497948843,25.52530970129522,4.429690298704781,0.0,2.5071427142857146,0,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,1,22.85,23.25,0,0,0,0,0,,
2023-09-04 14:45:00,NSE:SUZLON,25.450001,25.700001,23.4,24.049999,687312930.0,15.782499949999998,11.521725020000002,19.570561500277677,16.012730764564374,3.5578307357133028,2.7266886383878735,78.10434200464725,26.527695778001746,5.03730412199825,0.0,2.528571357142858,1,0,0,0,0.0,0,,0,13.25,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-09-11 14:45:00,NSE:SUZLON,24.299999,24.4,21.700001,24.200001,879734734.0,16.5775,11.845999999999998,20.282809694340216,16.624792104756196,3.65801758958402,2.9129546569885774,78.32410281401553,27.34448047296754,5.810519527032463,0.0,2.464285571428572,0,1,0,0,,0,,0,21.700001,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,1,0,0,0,0,,
2023-09-18 14:45:00,NSE:SUZLON,24.700001,26.25,24.5,25.049999,570402809.0,17.39749995,12.193999980000001,21.01624672646033,17.254210762730764,3.7620359637295664,3.0827710848922427,79.5751037920835,28.120297700538273,6.674702199461725,0.0,2.4857140714285717,0,0,0,0,0.0,0,,0,21.700001,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,1,24.4,24.5,0,0,0,0,0,,
2023-09-25 14:45:00,NSE:SUZLON,25.75,26.4,24.950001,25.799999,428830981.0,18.2749999,12.575999959999999,21.75222839235988,17.892234070579182,3.8599943217806967,3.2382158542377617,80.63699811026535,28.714524710722262,7.83547508927774,0.0,2.460714,0,0,0,0,0.0,0,,0,21.700001,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-10-03 14:45:00,NSE:SUZLON,25.950001,29.799999,25.75,29.1,1121463962.0,19.3049999,12.98499996,22.88268049805358,18.7285095175809,4.154170980472681,3.421406994475688,84.4642790578537,29.748678178420842,8.861321621579155,0.0,2.6071424999999997,0,0,0,0,0.0,0,,0,21.700001,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-10-09 14:45:00,NSE:SUZLON,28.200001,28.6,26.299999,26.799999,386617523.0,20.144999849999998,13.358999939999999,23.485356478496133,19.330443430139432,4.1549130483567005,3.568108278920602,73.55210248886348,30.129877531247537,10.160122168752457,0.0,2.5821425000000002,0,0,0,0,0.0,0,,0,21.700001,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
2023-10-16 14:45:00,NSE:SUZLON,27.6,33.150002,27.049999,32.5,825129092.0,21.21999985,13.845999939999999,24.87224729123758,20.31207528893594,4.560172002301641,3.766521103306089,80.33324187767872,31.677603202484562,10.76239649751544,0.0,2.9285712857142863,0,0,0,0,0.0,0,,0,21.700001,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,,,0,0,0,0,0,,
